;;;;;;;;;;
NO;F˜ž/FATURA ADI;TAR˜H;TUTAR;KDV;GEN.TOP.;HARCAMA;HARCAMA C˜NS˜;A€IKLAMA;D™NEM;D™KšLEN BETON
67;VERG˜ DA˜RES˜ ;28.02.2019;322,70   ;0,00   ;322,70   ;VERG˜/HAR€;˜ž€˜ VERG˜S˜-MUHTASAR;žUBAT 2019 MAAžLAR VERG˜S˜.HAM VERG˜.žUBAT ˜ž€˜L˜KLER 1.290,80 *0,25;Mar.19;
68;VERG˜ DA˜RES˜ ;28.02.2019;-210,53   ;0,00   ;-210,53   ;VERG˜/HAR€;KDV-1;AY ˜€˜NDE ™DENEN KDV DšžšLDš.˜SKONTO YAPILDI.CAR˜ ™DENEN FATURALAR VERG˜ DA˜RES˜ ˜€˜NDE L˜STES˜ MEVCUT;Mar.19;
69;VERG˜ DA˜RES˜ ;28.02.2019;-0,17   ;0,00   ;-0,17   ;VERG˜/HAR€;KDV-1;FARK NEDEN KAYNAKLANDI¦I TESP˜T ED˜LEMED˜¦˜NDEN ˜SKONTO OLARAK KAYDED˜LD˜;Mar.19;
70;ž˜M-AL ˜NžAAT EML.TAAH.DEK.PROJ.TUR.˜H.˜T.T˜C.VE SAN.LTD.žT˜.;8.03.2019;7.396,02   ;0,00   ;7.396,02   ;DEM˜RBAž;DEM˜RBAž;2.751,70 $ * 2,6800 =12 AYLIK K˜RA BEDEL˜=KONTEYNER  2*6  -  KONTEYNER 3*7 - ASKAYNAK ˜NVERTER KAYNAK MAK.-  F˜MER €ANTA KAYNAK - MAK˜TA H˜LT˜-MAK˜TA DA˜RE TESTERE;Mar.19;
71;ž˜M-AL ˜NžAAT EML.TAAH.DEK.PROJ.TUR.˜H.˜T.T˜C.VE SAN.LTD.žT˜.;8.03.2019;5.356,79   ;0,00   ;5.356,79   ;DEM˜RBAž;DEM˜RBAž;1.993$ * 2,6800=GE€˜C˜ ˜HRACAT ˜LE G™NDER˜LEN MALZEMELER.BEDELS˜Z.G™€MAKSAN BD36  DEM˜R BšKME - TECMOR C45 DEM˜R KESME - GEKA MAC KAYNAK MAK˜NASI ( S™ZLEžME OLMADI¦I ˜€˜N HAL˜M D™LEK TESL˜M ALIRKEN K¶T˜ ˜žLEM YAPTIRMIž );Mar.19;
72;YEMENO¦ULLARI HIRDAVAT OTOMOT˜V ARA€ K˜RALAMA SANAY˜ VE DIž T˜CARET  LTD.žT˜.;8.03.2019;9.487,36   ;0,00   ;9.487,36   ;MALZEME;HIRDAVAT;METAL KESME TAžI-KABLO TTR - REFLEKT™RLš YELEK SARI-YANGIN HORTUMU;Mar.19;
73;GšLTEK˜N ULUSLARARASI TAžIMACILIK VE T˜C.LTD.žT˜.;8.03.2019;7.391,45   ;0,00   ;7.391,45   ;NAKL˜YE;NAKL˜YE;GEBZE-GšRC˜STAN-1.NAKL˜YE BEDEL˜  (KONTEYNER-KAYNAK MAK.-DEM˜R BšKME-DEM˜R KESME ) 2.750$*2,6878 = 7.391,45;Mar.19;
74;VERG˜ DA˜RES˜ ;15.03.2019;0,00   ;5.314,00   ;5.314,00   ;VERG˜/HAR€;KDV-1;KDV-1.  15.03.2019 TAR˜H˜NDE 1.NAKL˜YE ˜LE GELEN MALZEMELER ( ž˜M-AL ˜Nž+ ž˜M-AL ˜Nž+ YEMENO¦ULLARI );Mar.19;
75;VERG˜ DA˜RES˜ ;15.03.2019;13,00   ;0,00   ;13,00   ;VERG˜/HAR€;D˜¦ER;GšMRšK VERG˜S˜ 15.03.2019 TAR˜H˜NDE 1.NAKL˜YE ˜LE GELEN MALZEMELER ( ž˜M-AL ˜Nž+ ž˜M-AL ˜Nž+ YEMENO¦ULLARI );Mar.19;
76;CETO LOGISTIK LTD GEORGIA;4.04.2019;7.398,60   ;0,00   ;7.398,60   ;NAKL˜YE;NAKL˜YE;˜STANBUL-BATUM €IKINTILI YšK NAKL˜. BUHAR KAZANI;Nis.19;
77;EFE TIR LTD;4.04.2019;4.842,72   ;0,00   ;4.842,72   ;NAKL˜YE;NAKL˜YE;˜STANBUL-BATUM NAKL˜YE šCRET˜.SU TANKI VE BUHAR KAZANI PAR€ALARI;Nis.19;
