;;;;;;;;;;
NO;F˜ž/FATURA ADI;TAR˜H;TUTAR;KDV;GEN.TOP.;HARCAMA;HARCAMA C˜NS˜;A€IKLAMA;D™NEM;D™KšLEN BETON
266;ROSTOM TS˜NTSADZE;24.06.2019;1.000,00   ;180,00   ;1.180,00   ;MALZEME;ZšCACC˜YE;YEMEKHANE ˜€˜N 10 MASA, 40 SANDALYE, 1 M˜N˜ MASA;Haz.19;
267;GURAM D˜ASAM˜DZE;21.06.2019;34,00   ;0,00   ;34,00   ;MALZEME;ZšCACC˜YE;TAVA 2AD, KšLLšK 2 AD;Haz.19;
268;YAL€IN MARKET;21.06.2019;7,46   ;1,34   ;8,80   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;OF˜SE, HAVLU KA¦IOT, SIVI SABUN;Haz.19;
269;AVERS˜ FARMA LTD;22.06.2019;10,00   ;0,00   ;10,00   ;D˜¦ER G˜DERLER;SA¦LIK;LEVENT BEYE ™KSšRšK žURUBU;Haz.19;
270;˜R˜NA žAN˜DZE;22.06.2019;5,00   ;0,00   ;5,00   ;D˜¦ER G˜DERLER;SA¦LIK;LEVENT BEYE  HI€KIRIK ˜LACI;Haz.19;
271;YAL€IN MARKET;22.06.2019;12,20   ;2,20   ;14,40   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;PERSONELE ˜€ECEK (˜LK šRET˜M NEDEN˜YLE);Haz.19;
272;TSULU LTD;23.06.2019;11,69   ;0,00   ;11,69   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;OF˜SE, €AY VE ˜€ECEK;Haz.19;
273;NODAR GURGEN˜DZE;23.06.2019;40,00   ;0,00   ;40,00   ;MALZEME;HIRDAVAT;41' L˜K TORX LOKMA;Haz.19;
274;YAL€IN MARKET;25.06.2019;13,90   ;2,50   ;16,40   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;OF˜SE,TEM˜ZL˜K BEZ˜, KAHVE, €AY;Haz.19;
275;TSULU LTD;25.06.2019;6,80   ;0,00   ;6,80   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;PERSONELE SU;Haz.19;
276;ROSTOM TS˜NTSADZE;25.06.2019;25,42   ;4,58   ;30,00   ;MALZEME;ZšCACC˜YE;TAHS˜N BEYE M˜N˜ MASA;Haz.19;
277;FARMA SES˜ LTD;27.06.2019;1,00   ;0,00   ;1,00   ;MALZEME;HIRDAVAT;ENJEKT™R (BYK BOY) 2 AD;Haz.19;
278;KARVAž GERORG˜A LTD;27.06.2019;20,34   ;3,66   ;24,00   ;MALZEME;HIRDAVAT;SšNGER 24 AD;Haz.19;
279;IMO MOTORS LTD;27.06.2019;99,15   ;17,85   ;117,00   ;TAM˜R/BAKIM;D˜¦ER;90 NO žANZIMAN YA¦I 1 TNK;Haz.19;
280;E-2010 LTD;28.06.2019;4,50   ;0,00   ;4,50   ;KIRTAS˜YE;KIRTAS˜YE;MARK™R KALEM 5 AD, SEKRETERL˜K 1AD;Haz.19;
281;NOVA LTD;29.06.2019;22,88   ;4,12   ;27,00   ;MALZEME;HIRDAVAT;KULAK TIKACI 30 AD;Haz.19;
282;YAL€IN MARKET;29.06.2019;9,75   ;1,75   ;11,50   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;LAVABO FIR€A 1, BULAžIK SšNGER˜ 5, BULAžIK TEL˜ 3;Haz.19;
283;MAC˜T ALPUTA˜M LTD;30.06.2019;51,00   ;0,00   ;51,00   ;D˜¦ER G˜DERLER;HIRDAVAT;P˜L 6 AD, NESCAFE,SšTTOZU,T.KAHVE, BULAžIK TEL˜ 2;Haz.19;
284;YAL€IN MARKET;30.06.2019;20,51   ;3,69   ;24,20   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;€AY 1 KG, žEKER 1 KG;Haz.19;
285;TUTANAK;22.06.2019;350,00   ;0,00   ;350,00   ;D˜¦ER G˜DERLER;KURBANLIK;KURBANLIK (˜LK šRET˜M NEDEN˜YLE);Haz.19;
286;GENAD˜ DEKANADZE;27.06.2019;720,00   ;0,00   ;720,00   ;LOJMAN;K˜RA BEDEL˜;HAZ˜RAN LOJMAN K˜RASI (250 USD*2,88);Haz.19;
287;SUAT USTA LTD;30.06.2019;59,32   ;10,68   ;70,00   ;D˜¦ER G˜DERLER;YEMEK;LEVENT VE TAHS˜N BEY YEMEK;Haz.19;
288;MAGT˜ COM;25.06.2019;6,00   ;0,00   ;6,00   ;˜LET˜ž˜M;˜NTERNET;HAL˜M D™LEK HATTINA 591 503160 1GB ˜NTERNET;Haz.19;
289;MAGT˜ COM;23.06.2019;10,00   ;0,00   ;10,00   ;˜LET˜ž˜M;˜NTERNET;EREN BEY HATTINA 591 401250 3 GB ˜NTERNET;Haz.19;
290;MAGT˜ COM;23.06.2019;10,00   ;0,00   ;10,00   ;˜LET˜ž˜M;˜NTERNET;TAHS˜N BEY HATTINA 591 901770 3 GB ˜NTERNET;Haz.19;
291;˜ž TAK˜P MASRAFLARI;30.06.2019;92,00   ;0,00   ;92,00   ;D˜¦ER G˜DERLER;D˜¦ER;LOJMAN TEM˜ZLETME+NAKL˜YE+KAHVALTIK;Haz.19;
292;SUAT USTA LTD;18.06.2019;83,00   ;0,00   ;83,00   ;D˜¦ER G˜DERLER;YEMEK;LEVENT VE TAHS˜N BEY YEMEK;Haz.19;
293;TSULU LTD;22.06.2019;9,70   ;0,00   ;9,70   ;D˜¦ER G˜DERLER;YEMEK;LEVENT VE TAHS˜N BEY ˜€ECEK, Y˜YECEK;Haz.19;
294;BS METAL GRUP;17.05.2019;18,22   ;3,28   ;21,50   ;MALZEME;HIRDAVAT;š€Lš PR˜Z+ELEKTR˜K BANDI+š€Lš BAž PR˜Z;May.19;
295;BS METAL GRUP;18.05.2019;25,42   ;4,58   ;30,00   ;MALZEME;HIRDAVAT;H˜LT˜ UCU 22 L˜K;May.19;
296;BS METAL GRUP;20.05.2019;33,93   ;6,11   ;40,04   ;MALZEME;HIRDAVAT;DEM˜R KALDIRMA APARATI ˜€˜N SOMUN VE C˜VATA;May.19;
297;ž˜M-AL ˜NžAAT EML.TAAH.DEK.PROJ.TUR.˜H.˜T.T˜C.VE SAN.LTD.žT˜.;8.07.2019;3.413,04   ;0,00   ;3.413,04   ;MALZEME;HIRDAVAT;1.218,42$=M˜N˜ BUZDOLABI+TV+TOPUKLU MAN˜LA+KANCALI Z˜NC˜R+CIRCIR GERD˜RME;Tem.19;
298;˜ž€˜L˜KLER;31.05.2019;32.113,40   ;0,00   ;32.113,40   ;˜ž€˜L˜K;MAAž;MAYIS 2019 MAAžLAR ;May.19;
299;˜ž€˜L˜KLER;30.06.2019;38.526,52   ;0,00   ;38.526,52   ;˜ž€˜L˜K;MAAž;HAZ˜RAN 2019 MAAžLAR ;Haz.19;
300;BANK OF GEORGIA;19.06.2019;1,35   ;0,00   ;1,35   ;BANKA MASRAF;EFT MASRAF;BANKA MASRAF.MAL˜YE BAKANLI¦I EFT šCRET˜;Haz.19;
301;BANK OF GEORGIA;20.06.2019;10,22   ;0,00   ;10,22   ;BANKA MASRAF;EFT MASRAF;BANKA MASRAF.VERG˜ DA˜RES˜ EFT šCRET˜;Haz.19;
302;BANK OF GEORGIA;20.06.2019;1,00   ;0,00   ;1,00   ;BANKA MASRAF;EFT MASRAF;BANKA MASRAF.M˜ND˜A LOR˜A;Haz.19;
303;BANK OF GEORGIA;20.06.2019;1,00   ;0,00   ;1,00   ;BANKA MASRAF;EFT MASRAF;SMS B˜LD˜R˜M šCRET˜;Haz.19;
304;BANK OF GEORGIA;24.06.2019;15,00   ;0,00   ;15,00   ;BANKA MASRAF;EFT MASRAF;BANKA MASRAF.NAK˜T €EK˜M KOM˜SYONU;Haz.19;
305;BANK OF GEORGIA;26.06.2019;4,00   ;0,00   ;4,00   ;BANKA MASRAF;EFT MASRAF;BANKA MASRAF.NAK˜T €EK˜M KOM˜SYONU;Haz.19;
306;BANK OF GEORGIA;14.06.2019;82,17   ;0,00   ;82,17   ;BANKA MASRAF;EFT MASRAF;BANKA MASRAF.EFT šCRET˜.TRABZON METRO LTD.;Haz.19;
307;BANK OF GEORGIA;28.06.2019;101,11   ;0,00   ;101,11   ;BANKA MASRAF;EFT MASRAF;BANKA MASRAF.EFT šCRET˜.CMS LOJ˜ST˜K;Haz.19;
308;M˜ND˜A LOR˜A;20.06.2019;200,00   ;36,00   ;236,00   ;TAM˜R/BAKIM;BUHAR KAZANI;BUHAR KAZANI BAKIM VE AYAR YAPILDI.B˜REYSEL €ALIžTI¦I ˜€˜N S™ZLEžME YAPILDI.KDV ™DEN˜YORMUž S™ZLEžME YAPILINCA ( BEYANNAMEDE G™ZšKMšYOR. HAL˜M D™LEK ARAžTIRACAK );Haz.19;
309;BES ™DEMES˜. ˜ž€˜ VE ˜ž VEREN;20.06.2019;291,00   ;0,00   ;291,00   ;˜ž€˜L˜K;BES;MAYIS 2019 ˜ž€˜L˜KLERE A˜T  ˜ž€˜+ ˜žVEREN BES PAYLARI;May.19;
310;˜NOKS LTD;16.05.2019;93,22   ;16,78   ;110,00   ;MALZEME;HIRDAVAT;DEM˜R BšKME APARATI + ALšM˜NYUM BANT+ KABLO SP˜RAL HORTUMU;May.19;
311;˜NOKS LTD;20.05.2019;381,36   ;68,64   ;450,00   ;MALZEME;HIRDAVAT;10 MM Z˜NC˜R +  SPREY BOYA;May.19;
312;˜NOKS LTD;22.05.2019;16,95   ;3,05   ;20,00   ;MALZEME;HIRDAVAT;BAKIR YšKSšK (PORTAL YASSI KABLO B˜RLEžT˜RME );May.19;
313;˜NOKS LTD;27.05.2019;67,80   ;12,20   ;80,00   ;MALZEME;HIRDAVAT;AL˜MšNYUM BANT + JAPON YAPIžTIRICISI + KAYNAK CAMI;May.19;
314;META LTD.;22.05.2019;25,42   ;4,58   ;30,00   ;TAM˜R/BAKIM;06 AGR 36;ARA N˜PEL.H˜-UP ˜€˜N;May.19;
315;CETO LOGISTIK LTD GEORGIA;10.07.2019;436,44   ;0,00   ;436,44   ;NAKL˜YE;NAKL˜YE;150$=TRABZON-BATUM NAKL˜YE ( MUTLU ˜SKELE KALIP ˜LE B˜RL˜KTE G™NDER˜LEN.BEKO M˜N˜ BUZDOLABI-REGAL TV-;Tem.19;
316;VERG˜ DA˜RES˜ ;10.07.2019;0,00   ;710,00   ;710,00   ;VERG˜/HAR€;KDV-1;KDV-1. 08.07.2019 TAR˜H˜NDE ž˜M-AL ˜NžAAT-TAN G™NDER˜LEN M˜N˜ BUZDOLABI+TV+TPOUKLU MAN˜LA+KANCALI Z˜NC˜R VB. ˜€˜N OLUžAN KDV;Tem.19;
317;ž˜M-AL ˜NžAAT EML.TAAH.DEK.PROJ.TUR.˜H.˜T.T˜C.VE SAN.LTD.žT˜.;22.07.2019;2.769,12   ;0,00   ;2.769,12   ;K˜RA BEDEL˜;K˜RA BEDEL˜;960$ = G™€MAKSAN DEM˜R BšKME + G™€MAKSAN DEM˜R KESME;Tem.19;
318;CETO LOGISTIK LTD GEORGIA;23.07.2019;720,77   ;0,00   ;720,77   ;NAKL˜YE;NAKL˜YE;250$=ANKARA-BATUM NAKL˜YE. G™€MAKSAM DEM˜R BšKME+G™€MASAN DEM˜R KESME.MEHMET MUTLU KALIPLAR ˜LE GELD˜.;Tem.19;
319;ž˜M-AL ˜NžAAT EML.TAAH.DEK.PROJ.TUR.˜H.˜T.T˜C.VE SAN.LTD.žT˜.;3.09.2019;3.553,68   ;0,00   ;3.553,68   ;K˜RA BEDEL˜;HALAT SšRME;1.200$  HALAT SšRME MAK˜NASI 2 ADET 12 AYLIK K˜RA šCRET˜;Eyl.19;
320;ž˜M-AL ˜NžAAT EML.TAAH.DEK.PROJ.TUR.˜H.˜T.T˜C.VE SAN.LTD.žT˜.;3.09.2019;59.228,00   ;0,00   ;59.228,00   ;K˜RA BEDEL˜;LANCH˜NG G˜RDER;20.000$ BšLBšLO¦LU K˜R˜ž SšRME MAK˜NASI LAUNCH˜NG G˜RDER  12 AYLIK K˜RA BEDEL˜;Eyl.19;
321;MAGT˜ COM;5.07.2019;127,97   ;23,03   ;151,00   ;˜LET˜ž˜M;˜LET˜ž˜M;TELEFON H˜ZMET BEDEL˜;Haz.19;
322;MAGT˜ COM;9.07.2019;2,12   ;0,38   ;2,50   ;VERG˜/HAR€;HAR€;112 AC˜L SERV˜S HATTI ˜€˜N ˜€˜žLER˜ BAKANLI¦I;Haz.19;
323;SOCAR PETROL;16.07.2019;211,86   ;38,14   ;250,00   ;AKARYAKIT;AKARYAKIT;EURO D˜ZEL . 100 LT;Tem.19;
324;SOCAR PETROL;25.07.2019;324,15   ;58,35   ;382,50   ;AKARYAKIT;AKARYAKIT;EURO D˜ZEL . 150 LT;Tem.19;
325;SOCAR PETROL;25.07.2019;316,53   ;56,97   ;373,50   ;AKARYAKIT;AKARYAKIT;EURO D˜ZEL . 150 LT;Tem.19;
326;SULKHAN KHOZREVAN˜DZE;26.07.2019;451,69   ;81,31   ;533,00   ;MALZEME;HIRDAVAT;DEM˜R ˜žLEME+HORTUM+N˜PEL ( KESME MAK˜NASI PEDAL M˜L TORNA ˜žLER˜ +ELEPHANT M˜L KAPLAMA VE TORNA ˜žLER˜;Tem.19;
327;˜ž€˜L˜KLER;31.07.2019;112.638,36   ;0,00   ;112.638,36   ;˜ž€˜L˜K;MAAž;TEMMUZ 2019 MAAžLAR;Tem.19;
328;SOCAR PETROL;5.07.2019;211,86   ;38,14   ;250,00   ;AKARYAKIT;AKARYAKIT;EURO D˜ZEL . 100 LT;Tem.19;
329;E-2010 LTD;1.07.2019;34,75   ;6,25   ;41,00   ;KIRTAS˜YE;KIRTAS˜YE;A4 2AD, TELL˜ DOSYA 40 AD, TšKENMEZ 4 ;Tem.19;
330;šN˜FORMA PLUS LTD;1.07.2019;38,14   ;6,86   ;45,00   ;D˜¦ER G˜DERLER;D˜¦ER;BAHATT˜N FORMEN ˜€˜N  ˜ž PANTOLONU VE  T˜žORT;Tem.19;
331;MAR˜ -2015 LTD;2.07.2019;24,15   ;4,35   ;28,50   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;KARTON BARDAK 300, €AY KARIžTIRICI 2 KT, ELD˜VEN 100 AD;Tem.19;
332;˜MO MOTORS LTD;2.07.2019;21,18   ;3,82   ;25,00   ;MALZEME;HIRDAVAT;GRES YA¦I 3.750 GR;Tem.19;
333;˜MO MOTORS LTD;3.07.2019;80,51   ;14,49   ;95,00   ;MALZEME;HIRDAVAT;GRES YA¦I 15 KG;Tem.19;
334;LUKA 2018 LTD;3.07.2019;372,88   ;67,12   ;440,00   ;MALZEME;DEM˜R MALZEME;SAC (21 AD-OF˜S šSTš VE SOYUNMA ODA YAPIMI);Tem.19;
335;HARDLAS LTD;3.07.2019;10,00   ;0,00   ;10,00   ;TAM˜R/BAKIM;06 AER 902;DUSTER LAST˜K TAM˜R˜ 1 AD;Tem.19;
336;SUAT USTA LTD;3.07.2019;64,41   ;11,59   ;76,00   ;D˜¦ER G˜DERLER;YEMEK;TAHS˜N BEY, H. D™LEK, BAHATT˜N FORMEN  YEMEK;Tem.19;
337;˜NOKS LTD;4.07.2019;4,00   ;0,00   ;4,00   ;MALZEME;HIRDAVAT;M 10 3 CM C˜VATA 20 AD;Tem.19;
338;MATEKS GEORG˜A LTD;24.06.2019;698,31   ;125,69   ;824,00   ;MALZEME;ZšCACC˜YE;OF˜SE KL˜MA;Tem.19;
339;ENERJ˜ LTD;23.06.2019;550,00   ;99,00   ;649,00   ;MALZEME;EL ALET˜;TORX MAK˜NASI -BOSCH;Tem.19;
340;NARG˜S KAKH˜DZE;4.07.2019;30,00   ;0,00   ;30,00   ;MALZEME;ZšCACC˜YE;TEM˜ZL˜K€˜YE ™NLšK;Tem.19;
341;TSULU LTD;5.07.2019;13,70   ;0,00   ;13,70   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;PERSONELE SU;Tem.19;
342;NOVA LTD;5.07.2019;67,80   ;12,20   ;80,00   ;MALZEME;HIRDAVAT;YšZ KORUMA ˜€˜N BAžLIK (ENJEKS˜YONCULARA);Tem.19;
343;NOVA LTD;5.07.2019;36,61   ;6,59   ;43,20   ;MALZEME;HIRDAVAT;BAžLIK ˜€˜N YšZ KORUMA (ENJEKS˜YONCULARA);Tem.19;
344;LAMZ˜RA VARSHAN˜DZE;6.07.2019;8,00   ;0,00   ;8,00   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;PERSONELE SU;Tem.19;
345;NAZILBE LTD;6.07.2019;25,63   ;4,61   ;30,24   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;€AY 1KG, žEKER 2 KG, žEKERL˜K 4 AD;Tem.19;
346;NAZILBE LTD;6.07.2019;20,85   ;3,75   ;24,60   ;MALZEME;ZšCACC˜YE;SšRAH˜ 9,TUZ, SIVI SABUN VE SABUNLUK;Tem.19;
347;NAZILBE LTD;6.07.2019;25,17   ;4,53   ;29,70   ;MALZEME;ZšCACC˜YE;EKMEK SEPET˜ 9, KESME TAHTA, KA¦IT HAVLU;Tem.19;
348;BA€ANA LTD;6.07.2019;16,90   ;0,00   ;16,90   ;D˜¦ER G˜DERLER;SA¦LIK;PERSONELE ˜LA€;Tem.19;
349;LUKA 2018 LTD;8.07.2019;18,31   ;3,29   ;21,60   ;MALZEME;HIRDAVAT;C˜VATA, BETON KARIžTIRICI;Tem.19;
350;NAZILBE LTD;10.07.2019;3,40   ;0,00   ;3,40   ;MALZEME;ZšCACC˜YE;PLAST˜K BARDAK;Tem.19;
351;TSULU LTD;9.07.2019;1,60   ;0,00   ;1,60   ;MALZEME;HIRDAVAT;™L€š ALET˜NE P˜L;Tem.19;
352;SUAT USTA LTD;10.07.2019;40,68   ;7,32   ;48,00   ;D˜¦ER G˜DERLER;YEMEK;TAHS˜N BEY, H. D™LEK YEMEK;Tem.19;
353;HARDLAS LTD;11.07.2019;10,00   ;0,00   ;10,00   ;TAM˜R/BAKIM;06 AER 902;DUSTER LAST˜K TAM˜R˜;Tem.19;
354;TSULU LTD;12.07.2019;11,69   ;0,00   ;11,69   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;HAL˜L BEY KAHVALTILIK;Tem.19;
355;NAZILBE LTD;12.07.2019;59,98   ;10,80   ;70,78   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;€AY, žEKER, PET BARDAK, SU, BI€AK, SABUN;Tem.19;
356;E-2010 LTD;12.07.2019;4,49   ;0,81   ;5,30   ;MALZEME;HIRDAVAT;MARK™R ve CD KALEM˜, SEKRETERL˜K;Tem.19;
357;LUKA 2018 LTD;12.07.2019;16,95   ;3,05   ;20,00   ;MALZEME;HIRDAVAT;LOJMAN TAHARET MUSLU¦U;Tem.19;
358;BA€ANA LTD;12.07.2019;10,00   ;0,00   ;10,00   ;MALZEME;HIRDAVAT;S˜NEK ˜LACI;Tem.19;
359;ROM PETROL LTD;12.07.2019;50,00   ;0,00   ;50,00   ;AKARYAKIT;M˜N˜BšS;M˜N˜BšSE MAZOT 19,38 LT;Tem.19;
360;TSULU LTD;13.07.2019;12,65   ;0,00   ;12,65   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;HAL˜L BEY KAHVALTILIK;Tem.19;
361;SUAT USTA LTD;13.07.2019;18,64   ;3,36   ;22,00   ;D˜¦ER G˜DERLER;YEMEK;TAHS˜N BEY, H. D™LEK YEMEK;Tem.19;
362;TSULU LTD;14.07.2019;14,51   ;0,00   ;14,51   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;HAL˜L BEY KAHVALTILIK;Tem.19;
363;BADR˜ BER˜DZE;9.07.2019;6,00   ;0,00   ;6,00   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;PERSONELE SU;Tem.19;
364;SOCAR PETROL;12.07.2019;4,00   ;0,00   ;4,00   ;LOJMAN;DO¦ALGAZ;LOJMAN AYLIK GAZ BEDEL˜ (3,36 Lari);Tem.19;
365;S˜LKNET GEORG˜A LTD;12.07.2019;25,00   ;0,00   ;25,00   ;LOJMAN;˜NTERNET;LOJMAN AYLIK ˜NTERNET BEDEL˜ (24,19 Lari);Tem.19;
366;ENERGO PRO LTD;12.07.2019;10,00   ;0,00   ;10,00   ;LOJMAN;ELEKTR˜K  ;LOJMAN AYLIK ELEKTR˜K ™DEME (9,10 Lari);Tem.19;
367;NET SERV˜CE LTD;13.07.2019;38,98   ;6,02   ;45,00   ;˜LET˜ž˜M;˜NTERNET;žANT˜YE ˜NTERNET FT. BEDEL˜ (44,38 Lari);Tem.19;
368;KARABAK LOKANTA;14.07.2019;26,00   ;0,00   ;26,00   ;D˜¦ER G˜DERLER;YEMEK;TAHS˜N BEY YEMEK;Tem.19;
369;NAZILBE LTD;15.07.2019;25,87   ;4,66   ;30,53   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;€AY, žEKER,SABUN, BEZ, B. SšNGER˜;Tem.19;
370;KHEV˜ LTD;15.07.2019;42,37   ;7,63   ;50,00   ;D˜¦ER G˜DERLER;D˜¦ER;OKS˜JEN GAZI 2 AD;Tem.19;
371;GEORG˜A BANK;15.07.2019;1,00   ;0,00   ;1,00   ;BANKA MASRAF;EFT MASRAF;EFT šCRET˜-GšMRšK KDV ;Tem.19;
372;SOCAR PETROL;15.07.2019;50,00   ;0,00   ;50,00   ;AKARYAKIT;M˜N˜BšS;M˜N˜BšSE MAZOT 19,608 LT;Tem.19;
373;RAUL KAMADADZE;16.07.2019;34,00   ;0,00   ;34,00   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;DAMACANA 4AD;Tem.19;
374;ACAR˜ ˜NVEST LTD;16.07.2019;24,00   ;0,00   ;24,00   ;D˜¦ER G˜DERLER;D˜¦ER;TšP DOLUMU 1 AD;Tem.19;
375;TSULU LTD;16.07.2019;5,51   ;0,00   ;5,51   ;D˜¦ER G˜DERLER;YEMEK;H. D™LEK-BADR˜-žOF™R YEMEK;Tem.19;
376;MURMAN PAP˜DZE;16.07.2019;400,00   ;0,00   ;400,00   ;LOJMAN;K˜RA BEDEL˜;2. LOJMAN TEMMUZ K˜RASI;Tem.19;
377;˜MO MOTORS LTD;17.07.2019;110,17   ;19,83   ;130,00   ;TAM˜R/BAKIM;ELEPHANT;15 / 40 MOTOR YA¦I-ELEFANT LARA;Tem.19;
378;META LTD;17.07.2019;84,74   ;15,26   ;100,00   ;TAM˜R/BAKIM;ELEPHANT;ELEFANT P˜STONLARINA €Ež˜TL˜ KE€E VE OR˜NG;Tem.19;
379;MAC˜T ALPUTA˜M LTD;16.07.2019;29,70   ;0,00   ;29,70   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;OF˜SE NESCAFE, KUMANDALARA P˜L 6 AD;Tem.19;
380;NAZILBE LTD;18.07.2019;49,31   ;8,88   ;58,19   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;€AY 1,žEKER 6, PET BARDAK 550,PE€ETE VE KšRDAN;Tem.19;
381;SUAT LTD;18.07.2019;36,44   ;6,56   ;43,00   ;D˜¦ER G˜DERLER;YEMEK;TAHS˜N BEY, H. D™LEK YEMEK;Tem.19;
382;H˜DRO GRUP LTD;19.07.2019;38,14   ;6,86   ;45,00   ;TAM˜R/BAKIM;ELEPHANT;ELEFANT P˜STONLARINA KE€E VE OR˜NG 1 AD;Tem.19;
383;LAM˜RZA VARSHAN˜DZE;24.07.2019;8,75   ;0,00   ;8,75   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;OF˜SE Y˜YECEK;Tem.19;
384;PSP ECZANE LTD;24.07.2019;25,51   ;0,00   ;25,51   ;D˜¦ER G˜DERLER;SA¦LIK;˜ž KAZASI GE€˜REN MERAB ˜REMADZE ˜LA€;Tem.19;
385;MED˜NA HASTANES˜;24.07.2019;33,15   ;0,00   ;33,15   ;D˜¦ER G˜DERLER;SA¦LIK;˜ž KAZASI GE€˜REN MERAB ˜REMADZE HASTANE šCRET˜;Tem.19;
386;NAZILBE LTD;25.07.2019;49,14   ;8,85   ;57,99   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;€AY 1, PET BARDAK 1000, €™P PžT, T. KAHVES˜;Tem.19;
387;NAZILBE LTD;20.07.2019;38,60   ;0,00   ;38,60   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;€AY 2 KG;Tem.19;
388;TBC BANK;25.07.2019;45,00   ;0,00   ;45,00   ;LOJMAN;A˜DAT;LOJMAN 3AYLIK A˜DAT (6-7-8 AY);Tem.19;
389;TUTANAK;16.07.2019;35,00   ;0,00   ;35,00   ;LOJMAN;˜NTERNET;2. LOJMAN ˜NTERNET BEDEL˜ -TEMMUZ;Tem.19;
390;HOTEL SERV˜S GRUP LTD;4.07.2019;323,73   ;76,27   ;400,00   ;MALZEME;ZšCACC˜YE;€AY KAZANI+KAHVEC˜ DEML˜¦˜. (KDV HATALI HESAPLANMIž ( 500 LAR˜ ™DENM˜ž BUNUN KDV S˜N˜ MUHASEBEC˜ KDV BEYANIND G™STERM˜ž G™ZšKšYOR.HAL˜M D™LEK ARAžTIRACAK );Tem.19;
391;HOTEL SERV˜S GRUP LTD;19.07.2019;932,20   ;167,80   ;1.100,00   ;MALZEME;ZšCACC˜YE;SU SEB˜L˜;Tem.19;
392;DEVLET HAZ˜NES˜;26.07.2019;11,00   ;0,00   ;11,00   ;D˜¦ER G˜DERLER;D˜¦ER;EREN BEY TRAF˜K CEZASI;Tem.19;
393;NAZILBE LTD;24.07.2019;13,55   ;0,00   ;13,55   ;MALZEME;ZšCACC˜YE;PET BARDAK, SIVI SABUN, BULAžIK DET.;Tem.19;
394;˜NOKS LTD;19.07.2019;296,61   ;53,39   ;350,00   ;MALZEME;HIRDAVAT;80'L˜K VANA, N˜PEL;Tem.19;
395;LUKA 2018 LTD;22.07.2019;29,65   ;5,35   ;35,00   ;LOJMAN;D˜¦ER;LOJMAN MUSLUK VE S˜FON;Tem.19;
396;NAZILBE LTD;29.07.2019;5,40   ;0,00   ;5,40   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;OF˜SE SU;Tem.19;
397;NAZILBE LTD;29.07.2019;153,37   ;27,61   ;180,98   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;€AY 1, žEKER 10, BARDAK 850, SIVI SABUN 10, PE€ETE 9;Tem.19;
398;LUKA 2018 LTD;30.07.2019;4,50   ;0,00   ;4,50   ;MALZEME;HIRDAVAT;25' L˜K PPR D˜RSEK 1 AD;Tem.19;
399;˜MO MOTORS LTD;30.07.2019;15,25   ;2,75   ;18,00   ;TAM˜R/BAKIM;06 AER 902;DUSTER ATF YA¦I (D˜REKS˜YON KUTUSU) 2 AD;Tem.19;
400;˜ž TAK˜P MASRAFLARI;31.07.2019;43,70   ;0,00   ;43,70   ;D˜¦ER G˜DERLER;D˜¦ER;€Ež˜TL˜ žANT˜YE HARCAMALARI;Tem.19;
401;GENAD˜ DEKANADZE;2.08.2019;717,50   ;0,00   ;717,50   ;LOJMAN;K˜RA BEDEL˜;LOJMAN K˜RASI (250 USD*2,87);A§u.19;
402;SULKHAN KHOZREVAN˜DZE;1.08.2019;59,32   ;10,68   ;70,00   ;TAM˜R/BAKIM;06 AGR 36;HI UP H˜DROL˜K HORTUM BAžLI¦I 4 AD;A§u.19;
403;TIRSAN LTD;1.08.2019;5,00   ;0,00   ;5,00   ;TAM˜R/BAKIM;06 AGR 36;SEGMAN - HI UP;A§u.19;
404;NOVA LTD;2.08.2019;38,14   ;6,86   ;45,00   ;MALZEME;HIRDAVAT;KULAK TIKACI 50 AD;A§u.19;
